date,year,month,day,decimal,co2_molfrac,day_of_year,co2_30d_avg,co2_365_avg,daily_diff,monthly_diff,monthly_change
1988-12-31,1988.0,12.0,15.714285714285714,1988.9555035714286,351.60857142857145,350.7142857142857,351.0032142857143,351.6210714285714,0.10035714285714294,1.14,0.32441185778575576
1989-01-31,1989.0,1.0,15.607142857142858,1989.0400214285714,353.0617857142857,15.607142857142858,352.47214285714284,351.84214285714285,0.0060714285714291395,1.45,0.413304567579198
1989-02-28,1989.0,2.0,14.0,1989.1205439999999,353.4188,45.0,353.21160000000003,352.0,0.00839999999999918,0.36,0.10111949244011598
1989-03-31,1989.0,3.0,15.827586206896552,1989.2022655172414,354.07206896551725,74.82758620689656,353.73310344827587,352.12689655172414,0.03586206896551795,0.65,0.18484273205536805
1989-04-30,1989.0,4.0,15.571428571428571,1989.2865,355.72035714285715,105.57142857142857,354.86678571428575,352.3014285714286,0.06964285714285674,1.65,0.46552335578338155
1989-05-31,1989.0,5.0,16.25925925925926,1989.3705666666665,355.95185185185187,136.25925925925927,355.9551851851852,352.4618518518518,-0.020000000000000757,0.23,0.06507772308959048
1989-06-30,1989.0,6.0,15.961538461538462,1989.454696153846,355.4188461538461,166.96153846153845,355.82961538461535,352.5926923076923,-0.04846153846153811,-0.53,-0.14974095379269858
1989-07-31,1989.0,7.0,15.923076923076923,1989.536769230769,354.0546153846154,196.92307692307693,354.7946153846154,352.70884615384614,-0.0519230769230778,-1.36,-0.38383748751472657
1989-08-31,1989.0,8.0,15.36,1989.620164,351.8832,227.36,353.0352,352.8228,-0.11799999999999955,-2.17,-0.6132995561310639
1989-09-30,1989.0,9.0,14.708333333333334,1989.7033083333333,350.115,257.7083333333333,350.78624999999994,352.93291666666664,0.010000000000000378,-1.77,-0.5024962828574897
1989-10-31,1989.0,10.0,17.24,1989.792432,350.3636,290.24,350.0788,353.0428,-0.03759999999999991,0.25,0.07100524113505813
1989-11-30,1989.0,11.0,16.074074074074073,1989.8741814814814,351.5814814814815,320.0740740740741,350.9474074074074,353.1118518518519,0.07666666666666641,1.22,0.34760502560240436
1989-12-31,1989.0,12.0,14.962962962962964,1989.9533185185185,352.8677777777778,348.962962962963,352.2788888888889,353.2185185185185,0.035185185185184764,1.29,0.365860081957714
1990-01-31,1990.0,1.0,16.4,1990.0422,353.8692,16.4,353.4108,353.30199999999996,0.05600000000000136,1.0,0.2837953152108996
1990-02-28,1990.0,2.0,14.5,1990.1219142857142,355.09535714285715,45.5,354.5167857142857,353.4139285714286,0.044642857142857144,1.23,0.34650010310508517
1990-03-31,1990.0,3.0,16.59259259259259,1990.204362962963,355.76814814814816,75.5925925925926,355.4240740740741,353.55999999999995,-0.004074074074074579,0.67,0.18946769980445755
1990-04-30,1990.0,4.0,15.357142857142858,1990.2859142857142,356.3725,105.35714285714286,356.08035714285717,353.6664285714286,0.038928571428570535,0.6,0.16987238880086242
1990-05-31,1990.0,5.0,16.357142857142858,1990.3708428571429,357.3757142857143,136.35714285714286,356.9810714285714,353.7575,0.012500000000000813,1.0,0.2815072110542438
1990-06-30,1990.0,6.0,15.10344827586207,1990.4523448275863,356.408275862069,166.10344827586206,357.00724137931036,353.88,-0.037241379310344276,-0.97,-0.2707062581403852
1990-07-31,1990.0,7.0,15.766666666666667,1990.5363399999999,354.90233333333333,196.76666666666668,355.67,353.9683333333333,-0.05933333333333432,-1.51,-0.4225329855467419
1990-08-31,1990.0,8.0,16.40909090909091,1990.6230409090908,353.035,228.4090909090909,353.8881818181818,354.0459090909091,-0.12318181818181725,-1.87,-0.5261541438160822
1990-09-30,1990.0,9.0,16.0,1990.7068481481483,351.3629629629629,259.0,351.8696296296296,354.1344444444444,0.0007407407407400671,-1.67,-0.47361792372911937
1990-10-31,1990.0,10.0,16.357142857142858,1990.7900142857143,351.70142857142855,289.35714285714283,351.51928571428573,354.1953571428572,0.017857142857142856,0.34,0.0963293357989281
1990-11-30,1990.0,11.0,14.541666666666666,1990.8699791666668,353.09,318.5416666666667,352.33,354.30541666666664,0.07291666666666667,1.39,0.39481540754942035
1990-12-31,1990.0,12.0,16.535714285714285,1990.9576285714286,354.43142857142857,350.5357142857143,353.835,354.45,0.07571428571428587,1.34,0.3799112326683174
1991-01-31,1991.0,1.0,16.0,1991.0411000000001,354.92928571428575,16.0,354.7317857142857,354.55392857142857,-0.0007142857142850646,0.5,0.1404664210687745
1991-02-28,1991.0,2.0,14.461538461538462,1991.1218115384615,355.8230769230769,45.46153846153846,355.3876923076923,354.6226923076923,-0.010769230769231907,0.89,0.2518223332832026
1991-03-31,1991.0,3.0,16.3,1991.2035600000002,357.34366666666665,75.3,356.659,354.7336666666667,0.0646666666666666,1.52,0.4273443298671964
1991-04-30,1991.0,4.0,15.5,1991.2863033333333,358.76733333333334,105.5,358.03333333333336,354.9193333333333,0.06966666666666772,1.42,0.39840265813209097
1991-05-31,1991.0,5.0,15.413793103448276,1991.368255172414,359.2355172413793,135.41379310344828,359.1134482758621,355.12724137931036,-0.023793103448275784,0.47,0.13049792011330386
1991-06-30,1991.0,6.0,15.344827586206897,1991.453003448276,358.2337931034483,166.3448275862069,358.7868965517241,355.28172413793106,-0.058620689655172024,-1.0,-0.27884885815950833
1991-07-31,1991.0,7.0,15.44,1991.535444,356.30760000000004,196.44,357.39639999999997,355.4236,-0.062400000000000094,-1.93,-0.5376916250031227
1991-08-31,1991.0,8.0,17.5,1991.6260291666667,353.8279166666667,229.5,354.86375,355.5083333333334,-0.09916666666666647,-2.48,-0.6959389396502758
1991-09-30,1991.0,9.0,15.74074074074074,1991.7061407407407,352.33074074074074,258.74074074074076,353.0333333333333,355.57814814814816,-0.07703703703703856,-1.5,-0.4231367439942235
1991-10-31,1991.0,10.0,15.333333333333334,1991.787214814815,352.41259259259255,288.3333333333333,352.1159259259259,355.62444444444446,0.06888888888888939,0.08,0.02323153854804083
1991-11-30,1991.0,11.0,15.464285714285714,1991.8725107142857,353.8925,319.4642857142857,353.2642857142857,355.7025,0.05428571428571364,1.48,0.4199360177569833
1991-12-31,1991.0,12.0,16.4,1991.9572566666668,355.22766666666666,350.4,354.5473333333333,355.74300000000005,0.08000000000000114,1.34,0.37728029462809065
